"Team","Team.link","team.link.ref","Conf","Conf.link","conf.link.ref","Year"
"South Alabama","team.php?team=South+Alabama","South+Alabama","SB","conf.php?c=SB","SB",2025
"South Carolina","team.php?team=South+Carolina","South+Carolina","SEC","conf.php?c=SEC","SEC",2025
"South Carolina St.","team.php?team=South+Carolina+St.","South+Carolina+St.","MEAC","conf.php?c=MEAC","MEAC",2025
"South Dakota","team.php?team=South+Dakota","South+Dakota","Sum","conf.php?c=Sum","Sum",2025
"South Dakota St.","team.php?team=South+Dakota+St.","South+Dakota+St.","Sum","conf.php?c=Sum","Sum",2025
"South Florida","team.php?team=South+Florida","South+Florida","Amer","conf.php?c=Amer","Amer",2025
"Southeast Missouri","team.php?team=Southeast+Missouri","Southeast+Missouri","OVC","conf.php?c=OVC","OVC",2025
"Southeastern Louisiana","team.php?team=Southeastern+Louisiana","Southeastern+Louisiana","Slnd","conf.php?c=Slnd","Slnd",2025
"Southern","team.php?team=Southern","Southern","SWAC","conf.php?c=SWAC","SWAC",2025
"Southern Illinois","team.php?team=Southern+Illinois","Southern+Illinois","MVC","conf.php?c=MVC","MVC",2025
"Southern Indiana","team.php?team=Southern+Indiana","Southern+Indiana","OVC","conf.php?c=OVC","OVC",2025
"Southern Miss","team.php?team=Southern+Miss","Southern+Miss","SB","conf.php?c=SB","SB",2025
"Southern Utah","team.php?team=Southern+Utah","Southern+Utah","WAC","conf.php?c=WAC","WAC",2025
"St. Bonaventure","team.php?team=St.+Bonaventure","St.+Bonaventure","A10","conf.php?c=A10","A10",2025
"St. John's","team.php?team=St.+John%27s","St.+John%27s","BE","conf.php?c=BE","BE",2025
"St. Thomas","team.php?team=St.+Thomas","St.+Thomas","Sum","conf.php?c=Sum","Sum",2025
"Stanford","team.php?team=Stanford","Stanford","ACC","conf.php?c=ACC","ACC",2025
"Stephen F. Austin","team.php?team=Stephen+F.+Austin","Stephen+F.+Austin","Slnd","conf.php?c=Slnd","Slnd",2025
"Stetson","team.php?team=Stetson","Stetson","ASun","conf.php?c=ASun","ASun",2025
"Stonehill","team.php?team=Stonehill","Stonehill","NEC","conf.php?c=NEC","NEC",2025
"Stony Brook","team.php?team=Stony+Brook","Stony+Brook","CAA","conf.php?c=CAA","CAA",2025
"Syracuse","team.php?team=Syracuse","Syracuse","ACC","conf.php?c=ACC","ACC",2025
"TCU","team.php?team=TCU","TCU","B12","conf.php?c=B12","B12",2025
"Tarleton St.","team.php?team=Tarleton+St.","Tarleton+St.","WAC","conf.php?c=WAC","WAC",2025
"Temple","team.php?team=Temple","Temple","Amer","conf.php?c=Amer","Amer",2025
"Tennessee","team.php?team=Tennessee","Tennessee","SEC","conf.php?c=SEC","SEC",2025
"Tennessee Martin","team.php?team=Tennessee+Martin","Tennessee+Martin","OVC","conf.php?c=OVC","OVC",2025
"Tennessee St.","team.php?team=Tennessee+St.","Tennessee+St.","OVC","conf.php?c=OVC","OVC",2025
"Tennessee Tech","team.php?team=Tennessee+Tech","Tennessee+Tech","OVC","conf.php?c=OVC","OVC",2025
"Texas","team.php?team=Texas","Texas","SEC","conf.php?c=SEC","SEC",2025
"Texas A&M","team.php?team=Texas+A%26M","Texas+A%26M","SEC","conf.php?c=SEC","SEC",2025
"Texas A&M Commerce","team.php?team=Texas+A%26M+Commerce","Texas+A%26M+Commerce","Slnd","conf.php?c=Slnd","Slnd",2025
"Texas A&M Corpus Chris","team.php?team=Texas+A%26M+Corpus+Chris","Texas+A%26M+Corpus+Chris","Slnd","conf.php?c=Slnd","Slnd",2025
"Texas Southern","team.php?team=Texas+Southern","Texas+Southern","SWAC","conf.php?c=SWAC","SWAC",2025
"Texas St.","team.php?team=Texas+St.","Texas+St.","SB","conf.php?c=SB","SB",2025
"Texas Tech","team.php?team=Texas+Tech","Texas+Tech","B12","conf.php?c=B12","B12",2025
"The Citadel","team.php?team=The+Citadel","The+Citadel","SC","conf.php?c=SC","SC",2025
"Toledo","team.php?team=Toledo","Toledo","MAC","conf.php?c=MAC","MAC",2025
"Towson","team.php?team=Towson","Towson","CAA","conf.php?c=CAA","CAA",2025
"Troy","team.php?team=Troy","Troy","SB","conf.php?c=SB","SB",2025
"Tulane","team.php?team=Tulane","Tulane","Amer","conf.php?c=Amer","Amer",2025
"Tulsa","team.php?team=Tulsa","Tulsa","Amer","conf.php?c=Amer","Amer",2025
"UAB","team.php?team=UAB","UAB","Amer","conf.php?c=Amer","Amer",2025
"UC Davis","team.php?team=UC+Davis","UC+Davis","BW","conf.php?c=BW","BW",2025
"UC Irvine","team.php?team=UC+Irvine","UC+Irvine","BW","conf.php?c=BW","BW",2025
"UC Riverside","team.php?team=UC+Riverside","UC+Riverside","BW","conf.php?c=BW","BW",2025
